t	f	mask
2049.30521221	1.00038720668	False
2049.32564396	1.00047610556	False
2049.34607582	1.00053096079	False
2049.36650747	1.00050879037	False
2049.38693933	1.00051107878	False
2049.40737108	1.00057907423	False
2049.42780274	1.00056348005	False
2049.44823459	1.00063818356	False
2049.46866635	1.00068587525	False
2049.4890981	1.00064909649	False
2049.50952986	1.0006179738	False
2049.52996162	1.00073409596	False
2049.55039347	1.00074421274	False
2049.57082513	1.00078292989	False
2049.59125689	1.00068292406	False
2049.61168874	1.00065555913	False
2049.6321204	1.00082631064	False
2049.65255216	1.00081887411	True
2049.67298402	1.00094789804	False
2049.69341577	1.00072940423	False
2049.71384753	1.00063501534	True
2049.73427929	1.00088849254	True
2049.75471095	1.00063036125	False
2049.77514281	1.00090168799	False
2049.79557457	1.00085611347	False
2049.81600623	1.00072509599	False
2049.83643809	1.00080678098	False
2049.85686985	1.00091556177	False
2049.87730151	1.00074774939	False
2049.89773337	1.00075901858	False
2049.91816513	1.00099842406	False
2049.93859699	1.00085682799	False
2049.95902865	1.00086775455	False
2049.97946041	1.00100979278	False
2049.99989227	1.00098146482	False
2050.02032393	1.00104334389	False
2050.04075569	1.00101573093	False
2050.06118755	1.00105197987	False
2050.08161922	1.00114907321	False
2050.10205108	1.0010329784	False
2050.12248284	1.00106665192	True
2050.1429145	1.00125116073	False
2050.16334637	1.00121679141	False
2050.18377813	1.0011525442	False
2050.20420989	1.00124097497	False
2050.22464166	1.001268391	False
2050.24507342	1.001337007	False
2050.26550528	1.00125736725	False
2050.28593695	1.00127712251	False
2050.30636871	1.00115514196	False
2050.32680058	1.0012327627	False
2050.34723234	1.00124314424	False
2050.36766401	1.0011142878	False
2050.38809587	1.00121210091	False
2050.40852754	1.00118749506	True
2050.4289593	1.00122822332	False
2050.44939117	1.00121690773	False
2050.46982283	1.00109342999	False
2050.4902547	1.00135887209	False
2050.51068647	1.00107340026	False
2050.53111813	1.00110238274	False
2050.55155	1.00120691754	False
2050.57198177	1.00086784979	False
2050.59241343	1.001186694	False
2050.6128453	1.00117189982	False
2050.63327707	1.00117066453	False
2050.65370894	1.00105111807	False
2050.67414061	1.0010977429	False
2050.69457237	1.00112994887	False
2050.71500424	1.00116981837	False
2050.73543591	1.00117009957	False
2050.75586768	1.00117111012	True
2050.77629955	1.00104580783	False
2050.79673122	1.00111018691	False
2050.81716309	1.00115084538	False
2050.83759486	1.00108828537	False
2050.85802663	1.00110742496	False
2050.8784584	1.00104133809	False
2050.89889017	1.00112649905	False
2050.91932194	1.00108614154	False
2050.93975371	1.00107098991	False
2050.96018548	1.00091977986	False
2050.98061725	1.0010845509	False
2051.00104913	1.00109086748	False
2051.0214808	1.00107125011	False
2051.04191267	1.00105007325	False
2051.06234434	1.00101068866	False
2051.08277611	1.00086560501	False
2051.10320799	1.00101951262	False
2051.12363966	1.0008962005	False
2051.14407143	1.00077101523	False
2051.16450331	1.001038474	False
2051.18493498	1.00082361525	False
2051.20536685	1.00076817919	False
2051.22579863	1.00078953423	False
2051.2462303	1.00088725202	False
2051.26666218	1.0008504106	False
2051.28709395	1.00092213339	True
2051.30752562	1.00103010531	False
2051.3279575	1.00070149762	False
2051.34838928	1.00066115352	False
2051.36882115	1.00073392375	True
2051.38925283	1.0007127023	False
2051.4096846	1.00067974104	False
2051.43011648	1.00060196745	False
2051.45054816	1.00068969174	False
2051.47097993	1.00063875205	False
2051.49141181	1.00070237845	False
2051.51184359	1.00072129245	False
2051.53227526	1.00065644405	False
2051.55270714	1.00058656865	False
2051.57313892	1.00048479792	False
2051.5935707	0.999114219085	False
2051.61400247	0.995161067978	False
2051.63443425	0.994065613968	False
2051.65486603	0.993755341036	False
2051.67529781	0.994404035696	False
2051.69572959	0.994305675509	False
2051.71616137	0.997047114014	False
2051.73659315	1.00055442113	False
2051.75702503	1.00047218113	False
2051.77745671	1.00054100315	False
2051.79788849	1.0005060936	False
2051.81832037	1.00062146424	True
2051.83875205	1.00028403164	False
2051.85918383	1.0003263778	False
2051.87961571	1.00037318078	False
2051.90004739	1.00028419972	False
2051.92047927	1.00042544632	True
2051.94091106	1.00020708872	False
2051.96134274	1.00019149123	False
2051.98177462	1.00030877051	False
2052.0022064	1.00009084528	False
2052.02263809	1.00005110583	False
2052.04306997	1.00024665284	False
2052.06350175	1.00013919416	False
2052.08393364	1.00022962223	True
2052.10436532	1.00000516428	False
